OM,AvgCost,Reconfigurations,ResourcesCost,Violations,inputData
ensemble-learning (FIXED),0.09112436326583191,34360,3.1501028479657793,2588,profile.dat
model-based,0.06230524058496288,2126,2.997629073721346,965,profile.dat
fa-q-learning,0.30450921255137736,189684,2.5818778268919362,142547,profile.dat
q-learning,0.08626689475248502,23934,2.834541313295264,14924,profile.dat
q-learning-pds,0.08962074693663694,1746,3.2932146982206634,29466,profile.dat
ensemble-learning with pds,0.09921245668681888,20771,3.095773243545125,28231,profile.dat
